"Code","CoinName","Algorithm","IsTrading","ProofType","TotalCoinsMined","TotalCoinSupply"
"FLT","FlutterCoin","Scrypt",1,"PoS/PoW/PoT",461829905.32893,0
"FRK","Franko","Scrypt",1,"PoW",1142732.14912776,11235813
"FRAC","FractalCoin","X11",1,"PoW",0,1000000
"FSTC","FastCoin","Scrypt",0,"PoW",0,165888000
"FTC","FeatherCoin","NeoScrypt",1,"PoW",208669093.00773,336000000
"GDC","GrandCoin","Scrypt",1,"PoW",884125802,1420609614
"GLC","GlobalCoin","Scrypt",1,"PoW",65672720.4708748,70000000
"GLD","GoldCoin","Scrypt",1,"PoW",41658647.9999715,72245700
"GLX","GalaxyCoin","Scrypt",1,"PoW/PoS",0,538214400
"GLYPH","GlyphCoin","X11",1,"PoW/PoS",0,7000000
"GML","GameLeagueCoin","Scrypt",1,"PoW/PoS",0,500000000
"GUE","GuerillaCoin","X11",1,"PoW/PoS",0,19500000
"HAL","Halcyon","X15",1,"PoW/PoS",0,0
"HBN","HoboNickels","Scrypt",1,"PoW/PoS",89266933.684704,120000000
"HUC","HunterCoin","Multiple",1,"PoW",0,42000000
"HVC","HeavyCoin","Multiple",1,"PoW",0,128000000
"HYP","HyperStake","X11",1,"PoS",1678520090.7713,0
"ICB","IceBergCoin","NIST5",1,"PoW/PoS",0,8750000
"IFC","Infinite Coin","Scrypt",1,"PoW",90595753018.6314,90600000000
"IOC","IOCoin","X11",1,"PoW/PoS",17650913.9743456,22000000
"IXC","IXcoin","SHA-256",1,"PoW",21089348.999,21000000
"JBS","JumBucks Coin","X11",1,"PoW/PoS",0,3293010
"JKC","JunkCoin","Scrypt",1,"PoW",0,107000000
"JUDGE","JudgeCoin","X13",1,"PoW/PoS",0,21600000
"KDC","Klondike Coin","Scrypt",1,"PoW",0,20000000
"KEYC","KeyCoin","X13",0,"PoW/PoS",0,1000000
"KGC","KrugerCoin","Scrypt",1,"PoW",151447649.8,265420800
"LK7","Lucky7Coin","Scrypt",1,"PoW/PoS",0,99792000
"LKY","LuckyCoin","Scrypt",1,"PoW",19326319.14375,20000000
"LSD","LightSpeedCoin","NIST5",1,"PoW/PoS",0,900000
"LTB","Litebar ","Scrypt",1,"PoW",1104344.22938102,1350000
"LTCD","LitecoinDark","Scrypt",1,"PoW",0,82003200
"LTCX","LitecoinX","X11",1,"PoW",0,84000000
"LXC","LibrexCoin","X11",1,"PoW/PoS",0,1000000
"LYC","LycanCoin","Scrypt",1,"PoW",0,4950000000
"MAX","MaxCoin","SHA3",1,"PoW/PoS",61445805,100000000
"MEC","MegaCoin","Scrypt",1,"PoW",38151999.9930997,42000000
"MED","MediterraneanCoin","HybridScryptHash256",1,"PoW",40431856.9,200000000
"MINRL","Minerals Coin","X11",0,"PoW/PoS",0,1000000
"MINT","MintCoin","Scrypt",1,"PoS",21293925445.4969,0
"MN","Cryptsy Mining Contract","SHA-256",1,"PoW",0,0
"MINC","MinCoin","Scrypt",1,"PoW",5804204.88794916,10000000
"MRY","MurrayCoin","Scrypt",1,"PoW",0,58000000
"MZC","MazaCoin","SHA-256",1,"PoW/PoS",1613836099.99999,2419200000
"NAN","NanoToken","Scrypt",1,"PoW",0,80000000
"NAUT","Nautilus Coin","Scrypt",1,"PoS",16180000,16180000
"NAV","NavCoin","X13",1,"PoW/PoS",66087096.2077108,0
"NBL","Nybble","Scrypt",1,"PoW",0,210000000
"NMB","Nimbus Coin","X15",1,"PoW/PoS",0,25000000
"NRB","NoirBits","SHA-256",1,"PoW",0,50000000
"NOBL","NobleCoin","Scrypt",1,"PoW",2366066305.76482,15000000000
"NRS","NoirShares","Scrypt",1,"PoW/PoS",0,5000000
"NMC","Namecoin","SHA-256",1,"PoW",14736400,21000000
"NYAN","NyanCoin","Scrypt",1,"PoW",334709223.483138,337000000
"OPAL","OpalCoin","X13",1,"PoW/PoS",15156364.3306548,0
"ORB","Orbitcoin","NeoScrypt",1,"PoW/PoS",3220616.279225,3770000
"PHS","PhilosophersStone","Scrypt",1,"PoW",0,8891840
"POT","PotCoin","Scrypt",1,"PoW/PoS",222677226.014206,420000000
"PSEUD","PseudoCash","X13",1,"PoW/PoS",0,2200000
"PXC","PhoenixCoin","Scrypt",1,"PoW/PoS",73959274.625,98000000
"PYC","PayCoin","Scrypt",1,"PoW/PoS",0,30000000
"RDD","Reddcoin","Scrypt",1,"PoW/PoS",29315567169.0888,0
"RIPO","RipOffCoin","Scrypt",1,"PoW",0,12000000
"RPC","RonPaulCoin","Scrypt",1,"PoW",1104157.42169891,21000000
"RT2","RotoCoin","Scrypt-n",1,"PoW/PoS",0,288000
"RYC","RoyalCoin","Scrypt",1,"PoW",0,140000000
"RZR","RazorCoin","Scrypt",1,"PoW",0,4000000
"SAT2","Saturn2Coin","Scrypt",1,"PoW",0,15000000000
"SBC","StableCoin","Scrypt",1,"PoW",24215181.725,250000000
"SFR","SaffronCoin","Multiple",1,"PoW",0,111000000
"SHADE","ShadeCoin","Scrypt",1,"PoW/PoS",0,2000000
"SHLD","ShieldCoin","X15",1,"PoW/PoS",0,1000000
"SILK","SilkCoin","Scrypt",1,"PoW/PoS",0,1000000
"SLG","SterlingCoin","X13",1,"PoS",0,0
"SMC","SmartCoin","Scrypt",1,"PoW",25593737.1355044,51200000
"SOLE","SoleCoin","X15",1,"PoW/PoS",0,1200000
"SPA","SpainCoin","Scrypt-n",1,"PoW",0,50000000
"SPOTS","Spots","Scrypt",1,"PoW",0,100000000
"SRC","SecureCoin","Scrypt",1,"PoW",0,21000000
"SSV","SSVCoin","X13",1,"PoW",0,21000000
"SUPER","SuperCoin","X11",1,"PoS",50707661.7493518,0
"SYNC","SyncCoin","X11",1,"PoW/PoS",1177,1000
"SYS","SysCoin","SHA-256",1,"PoW",563336541.299966,888000000
"TAG","TagCoin","Scrypt",1,"PoW/PoS",0,1000000
"TAK","TakCoin","SHA-256",1,"PoW/PoS",0,7515187520
"TES","TeslaCoin","Multiple",1,"PoS",80260463.7331396,100000000
"TGC","TigerCoin","SHA-256",1,"PoW",43536800,47011968
"TIT","TittieCoin","PHI1612",1,"PoS",1622326490.46336,2300000000
"TOR","TorCoin","X11",1,"PoW/PoS",1431851.00002479,10000000
"TRC","TerraCoin","SHA-256",1,"PoW",22935396,42000000
"TITC","TitCoin","Scrypt",1,"PoW",0,1000000
"ULTC","Umbrella","SHA-256",1,"PoW",0,2625000
"UNB","UnbreakableCoin","SHA-256",1,"PoW",2278150,80000000
"UNO","Unobtanium","SHA-256",1,"PoW",200911.79151896,250000
"URO","UroCoin","X11",1,"PoW",1207310,0
"USDE","UnitaryStatus Dollar","Scrypt",1,"PoW/PoS",1098952592.6,1600000000
"UTC","UltraCoin","Scrypt",1,"PoW/PoS",50235211.141939,100000000
"UTIL","Utility Coin","X13",1,"PoW/PoS",0,0
"VDO","VidioCoin","X11",1,"PoW/PoS",0,0
"VIA","ViaCoin","Scrypt",1,"PoW",23150892.1679687,23000000
"VOOT","VootCoin","X11",1,"PoW",0,0
"VRC","VeriCoin","Scrypt",1,"PoST",32021108.4136696,0
"VTC","Vertcoin","Lyra2REv2",1,"PoW",51173723.8166347,84000000
"WDC","WorldCoin","Scrypt",1,"PoW",119606941,265420800
"XAI","SapienceCoin","X11",1,"PoB/PoS",0,0
"XBOT","SocialXbotCoin","Scrypt",1,"PoW/PoS",0,2000000
"XC","X11 Coin","X11",1,"PoW/PoS",6950831.0970606,5500000
"XCSH","Xcash","Scrypt",0,"PoW/PoS",0,2400000
"XCR","Crypti","Multiple",1,"PoS",100000000,0
"XJO","JouleCoin","SHA-256",1,"PoW",39195739.362088,45000000
"XLB","LibertyCoin","X11",1,"PoW/PoS",0,16500000
"XST","StealthCoin","X13",1,"PoW/PoS",33093725.4123502,0
"XXX","XXXCoin","Scrypt",1,"PoW/PoS",0,50000000
"YAC","YAcCoin","Scrypt",1,"PoW",0,2000000000
"ZCC","ZCC Coin","Scrypt",1,"PoW/PoS",147990237.978331,1000000000
"ZED","ZedCoins","Scrypt",1,"PoW",0,120000000
"BCN","ByteCoin","CryptoNight",1,"PoW",184066828814,184467440735
"EKN","Elektron","X13",1,"PoW/PoS",0,3000000
"XDN","DigitalNote ","CryptoNight",1,"PoW",6906587610.38292,10000000000
"XAU","XauCoin","SHA-256",1,"PoW",0,2100000
"BURST","BurstCoin","Shabal256",1,"PoC",1813033920,2158812800
"SJCX","StorjCoin","Counterparty",1,"PoS",51173144,500000000
"HUGE","BigCoin","Blake",1,"PoW",0,164429865
7,"007 coin","Scrypt",1,"PoW",0,989800
"MONA","MonaCoin","Scrypt",1,"PoW",68194674.8711679,105120000
"TEK","TekCoin","SHA-256",1,"PoW/PoS",0,100000000
"NTRN","Neutron","SHA-256",1,"PoW/PoS",39121694,68000000
"SLING","Sling Coin","SHA-256",1,"PoW",0,1000000
"XSI","Stability Shares","Scrypt",1,"PoW/PoS",0,15000000
"KTK","KryptCoin","Scrypt",1,"PoS",0,17000000
"FAIR","FairCoin","Groestl",1,"PoW/PoS",53193831,0
"NLG","Gulden","Scrypt",1,"PoW",415032420,1680000000
"RBY","RubyCoin","Scrypt",1,"PoS",27184490.3918338,0
"PTC","PesetaCoin","Scrypt",1,"PoW",137517654.41397,166386000
"KORE","Kore","X13",1,"PoW/PoS",2022464.886973,12000000
"WBB","Wild Beast Coin","Scrypt",1,"PoW",181919.2435974,2628000
"SSD","Sonic Screw Driver Coin","SHA-256",1,"PoW/PoS",0,0
"NOTE","Dnotes","Scrypt",1,"PoS",174646113.934655,500000000
"FLO","Flo","Scrypt",1,"PoW",152270664.860648,160000000
"MMXIV","MaieutiCoin","SHA-256",1,"PoS",0,2014
"8BIT","8BIT Coin","Scrypt",1,"PoW/PoS",1467841,0
"STV","Sativa Coin","X13",1,"PoW/PoS",7096834,10000000
"AM","AeroMe","X13",1,"PoW/PoS",0,12000000
"NKT","NakomotoDark","X11",1,"PoW/PoS",0,0
"GHC","GhostCoin","Scrypt",1,"PoW/PoS",0,750000000
"ABY","ArtByte","Scrypt",1,"PoW",792537250,1000000000
"MTR","MasterTraderCoin","X11",1,"PoW/PoS",0,10110000
"BCR","BitCredit","Momentum",1,"PoW",0,210000000
"XPB","Pebble Coin","CryptoNight",1,"PoW",0,0
"XDQ","Dirac Coin","Blake",1,"PoW",0,2272800
"FLDC","Folding Coin","Stanford Folding",1,"PoW",719416990,1000000000
"SMAC","Social Media Coin","X11",1,"PoW/PoS",0,0
"U","Ucoin","X11",1,"PoS",2689812,20000000
"UIS","Unitus","Multiple",1,"PoW",65113302,0
"CYP","CypherPunkCoin","QuBit",1,"PoW",6365285,0
"QBK","QuBuck Coin","X13",1,"PoS/PoB",0,0
"MARYJ","MaryJane Coin","X15",1,"PoW/PoS",0,0
"OMC","OmniCron","Scrypt",1,"PoW",10140044.4430293,3371337
"GIG","GigCoin","X11",1,"PoW",0,0
"CC","CyberCoin","Scrypt",1,"PoW/PoS",0,0
"VTR","Vtorrent","Scrypt",1,"PoW/PoS",11604722,20000000
"METAL","MetalCoin","Scrypt",1,"PoW",0,0
"GRE","GreenCoin","Scrypt",1,"PoW",4610340640.89,10000000000
"XG","XG Sports","XG Hash",1,"PoW/PoS",0,0
"CHILD","ChildCoin","X11",1,"PoW",0,2000000
"MINE","Instamine Nuggets","Scrypt",1,"PoW",0,21649485
"ROS","ROS Coin","X11",1,"PoW/PoS",0,0
"UNAT","Unattanium","SHA-256",1,"PoW",0,0
"GAIA","GAIA Platform","X11",1,"PoS",0,24000000
"XCN","Cryptonite","M7 POW",1,"PoW",708506520,1840000000
"GMC","Gridmaster","Scrypt",1,"PoW",0,84000000
"MMC","MemoryCoin","Multiple",1,"PoW",0,10000000
"CYC","ConSpiracy Coin ","X11",1,"PoW",0,33000000
"MSC","MasterCoin","Scrypt",1,"PoW",619478,619478
"EGG","EggCoin","Scrypt",1,"PoW/PoS",0,3891
"CAMC","Camcoin","X11",0,"PoW/PoS",0,10000000
"RBR","Ribbit Rewards","Multiple",1,"PoW",0,1000000000
"ICASH","ICASH","X11",1,"PoW",0,1000000
"NODE","Node","Curve25519",1,"PoA",0,1000000000
"SOON","SoonCoin","SHA-256",1,"PoW",12462620,21000000
"BTMI","BitMiles","Scrypt",1,"PoW",0,4832660000
"EVENT","Event Token","Scrypt",1,"PoW/PoS",0,0
"1CR","1Credit","Scrypt",1,"PoW",88213,92000000000
"VIOR","ViorCoin","Scrypt",1,"PoW/PoS",0,0
"VMC","VirtualMining Coin","Scrypt-n",1,"PoW",0,1000000
"MARSC","MarsCoin","X11",0,"PoW",0,33000000
"EQM","Equilibrium Coin","SHA-256",1,"PoW/PoS",0,0
"ISL","IslaCoin","X11",1,"PoW/PoS",1513704,0
"QSLV","Quicksilver coin","X11",1,"PoW",0,33000000
"XNA","DeOxyRibose","X11",1,"PoS",0,0
"SKB","SkullBuzz","SHA-256",1,"PoS",0,0
"FCS","CryptoFocus","X11",1,"PoW/PoS",0,0
"NXS","Nexus","SHA3",1,"PoW/nPoS",63657220,78000000
"EAGS","EagsCoin","X11",1,"PoW/PoS",0,20445500
"MWC","MultiWallet Coin","X11",1,"PoW/PoS",0,0
"MARS","MarsCoin ","X11",1,"PoW",32221574.820996,33000000
"XMS","Megastake","X11",1,"PoW/PoS",0,0
"SIGU","Singular","Scrypt",1,"PoW/PoS",0,0
"M1","SupplyShock","X13",1,"PoW/PoS",0,0
"DB","DarkBit","Scrypt",1,"PoW/PoS",0,0
"CTO","Crypto","Lyra2RE",1,"PoW",13742738,65789100
"BITL","BitLux","X11",0,"PoW/PoS",0,0
"FUTC","FutCoin","X13",1,"PoW/PoS",0,0
"TAM","TamaGucci","Scrypt",1,"PoW/PoS/PoC",0,5300000
"MRP","MorpheusCoin","X11",1,"PoW",0,3400000
"XFC","Forever Coin","X11",1,"PoS",0,210000000
"NANAS","BananaBits","Scrypt",1,"PoW/PoS",0,0
"ACP","Anarchists Prime","SHA-256",1,"PoW",14747200.0002,53760000
"DRZ","Droidz","QUAIT",1,"PoW/PoS",8568038.35935056,5060000
"BSC","BowsCoin","X11",1,"PoW",15863837.5,21000000
"DRKT","DarkTron","SHA-256",1,"PoW/PoS",0,1500000
"CIRC","CryptoCircuits","vDPOS",1,"PoS",0,0
"EPY","Empyrean","Scrypt",1,"PoW",0,100000
"SQL","Squall Coin","X11",1,"PoS/PoW",329200.01639,0
"CHA","Charity Coin","Scrypt",1,"PoW",0,500000
"MIL","Milllionaire Coin","X11",1,"PoW/PoS",0,0
"QTZ","Quartz","SHA-256",1,"PoW/PoS",0,0
"SPC","SpinCoin","NIST5",1,"PoW/PoS",0,0
"DUB","DubCoin","X15",1,"PoW/PoS",0,0
"GRAV","Graviton","SHA-256",1,"PoW/PoS",0,0
"HEDGE","Hedgecoin","X13",1,"PoW",0,33000000
"SONG","Song Coin","Scrypt",1,"PoW",32565300,210240000
"XSEED","BitSeeds","SHA-256",1,"PoW/PoS",0,0
"CHIP","Chip","X11",1,"PoW",0,0
"SPEC","SpecCoin","Scrypt",1,"PoW",0,3000000000
